ACTIVIDAD ECONOMICA Y PRODUCTO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020(p),Enero a Agosto 2021(p)
Otros Minerales,"0,8","0,7","0,1","0,7","0,1","0,1","0,8","0,5","0,5","1,8","0,7","0,7","0,9","0,4","1,1","4,9","0,9","0,9","3,5","5,5","2,8","3,6","2,6","1,6",0,"1,6","4,5","8,5","4,4","5,9"
Otras Minas y Canteras,"0,2","0,2","0,4","0,8","0,5","0,6","0,9","0,8","0,9","0,7","0,8","0,6","0,5","0,5","0,6","0,9",1,1,1,"1,5","0,8","0,8","1,3","1,8","3,4","2,1","1,1","0,9",1,"0,9"
INDUSTRIA MANUFACTURERA,"292,8","442,4","699,9","629,5","688,3","700,5","655,1","628,9","715,8","696,7","727,3","781,1","949,9","945,1","1123,9","1330,8","1654,4","1505,4","1840,5","2262,3","3337,4","2907,4","3637,7","2547,9","2646,7","2814,8","3132,5","3592,5","3012,6","3446,2"
Productos Derivados de Soya,"41,1",56,"75,3","95,3","135,8","180,9","184,4","182,7","252,7","273,4","312,8","344,3","402,4","346,6","355,7","399,1","471,5","530,9",545,"663,7","831,3","942,8","992,8","792,2","858,6","693,5","805,8","711,7","775,8","892,5"
Oro Metalico,"1,9","71,6","119,1","130,8","119,6","110,5","112,7","89,1","87,8","92,2","89,6","71,8","33,6","77,7","125,9","122,4","141,6","116,2","94,1","88,1",90,"330,8","1360,9","725,3","743,2","1066,2","1189,6",1739,"1229,6","1478,5"
Estano Metalico,"77,6","75,1","83,4","81,4","70,9","70,6","58,2","64,1","66,2","50,9","48,9","59,3","116,4","101,9","117,3","178,8","235,4","205,4","293,1",394,"298,5","336,6","347,6",255,"295,2","336,2","318,2","285,2","177,1","281,9"
Maderas y Manufacturas de Madera,"49,9","53,4","86,4","75,6","81,7","86,7","67,4","50,9","57,7","40,9","41,1","42,5","55,9","67,4","87,3","99,4","96,7","79,8","96,1","74,1","61,9","59,4","58,5",52,43,"45,6","51,2","48,6","53,9",51
Plata Metalica,"5,4","12,9","14,7","13,5","11,8","11,3","14,4","12,3","8,9","4,4","4,8","4,1","2,1","4,1","8,6","10,2",19,"13,8","113,4","291,8","210,3",165,"129,6","99,4","108,6","83,6","80,5","94,6","119,1","105,3"
Desechos y Amalgamas de Metal Precioso,,,,,,,,,,,,"0,3","0,6","0,9","1,1","0,3","9,3","7,6","47,3","189,2","1096,2","220,4",,,,,0,,,
Joyeria de Oro,"0,8","39,3","139,5","78,5","39,8",20,"3,4","15,4","31,8",28,"41,5","41,5","44,5","49,3","51,2","53,4","23,7","2,1","17,6","23,1","22,2","73,1","41,2","80,4",101,"79,7","104,5","136,4","130,2","162,2"
